jerseyNumber,person.id,person.fullName,position.name,team_name,player_id,x,y
10,8478421,A.J. Greer,Left Wing,Boston Bruins,,,
30,8477180,Aaron Dell,Goalie,San Jose Sharks,,,
5,8477932,Aaron Ekblad,Defenseman,Florida Panthers,,,
27,8482691,Aatu Raty,Center,New York Islanders,,,
27,8482691,Aatu Raty,Center,Vancouver Canucks,,,
53,8481550,Adam Beckman,Left Wing,Minnesota Wild,8481550,-81,-8
27,8480871,Adam Boqvist,Defenseman,Columbus Blue Jackets,,,
73,8477454,Adam Erne,Left Wing,Detroit Red Wings,8477454,79,-2
23,8479323,Adam Fox,Defenseman,New York Rangers,,,
50,8480874,Adam Ginning,Defenseman,Philadelphia Flyers,,,
14,8474641,Adam Henrique,Center,Anaheim Ducks,,,
6,8476457,Adam Larsson,Defenseman,Seattle Kraken,,,
17,8476392,Adam Lowry,Center,Winnipeg Jets,,,
3,8476917,Adam Pelech,Defenseman,New York Islanders,,,
57,8482197,Adam Raska,Right Wing,San Jose Sharks,,,
63,8480008,Adam Ruzicka,Center,Calgary Flames,,,
33,8478499,Adin Hill,Goalie,Vegas Golden Knights,,,
9,8477960,Adrian Kempe,Right Wing,Los Angeles Kings,8477960,,
9,8477960,Adrian Kempe,Right Wing,Los Angeles Kings,8477960,,
9,8477960,Adrian Kempe,Right Wing,Los Angeles Kings,8477960,,
25,8481683,Aidan McDonough,Left Wing,Vancouver Canucks,,,
40,8481033,Akira Schmid,Goalie,New Jersey Devils,,,
41,8484254,Akito Hirose,Defenseman,Vancouver Canucks,,,
23,8474166,Alec Martinez,Defenseman,Vegas Golden Knights,,,
75,8480831,Alec Regula,Defenseman,Chicago Blackhawks,,,
16,8477493,Aleksander Barkov,Center,Florida Panthers,,,
20,8480037,Aleksi Heponiemi,Center,Florida Panthers,,,
12,8479718,Alex Barré-Boulet,Center,Tampa Bay Lightning,8479718,53,-5
60,8475968,Alex Belzile,Right Wing,Montréal Canadiens,,,
48,8475163,Alex Chiasson,Right Wing,Detroit Red Wings,,,
93,8479337,Alex DeBrincat,Right Wing,Ottawa Senators,,,
17,8476851,Alex Galchenyuk,Center,Colorado Avalanche,,,
33,8471274,Alex Goligoski,Defenseman,Minnesota Wild,8471274,-62,-11
9,8480113,Alex Iafallo,Left Wing,Los Angeles Kings,,,
15,8477021,Alex Kerfoot,Center,Toronto Maple Leafs,,,
17,8473986,Alex Killorn,Center,Tampa Bay Lightning,,,
34,8479312,Alex Lyon,Goalie,Florida Panthers,,,
39,8477968,Alex Nedeljkovic,Goalie,Detroit Red Wings,,,
15,8481618,Alex Newhook,Center,Colorado Avalanche,,,
11,8479423,Alex Nylander,Left Wing,Pittsburgh Penguins,8479423,84,1
11,8479423,Alex Nylander,Left Wing,Pittsburgh Penguins,8479423,81,-4
8,8471214,Alex Ovechkin,Left Wing,Washington Capitals,,,
7,8474565,Alex Pietrangelo,Defenseman,Vegas Golden Knights,,,
32,8471774,Alex Stalock,Goalie,Chicago Blackhawks,,,
46,8482634,Alex Steeves,Center,Toronto Maple Leafs,8482634,63,12
89,8477949,Alex Tuch,Right Wing,Buffalo Sabres,,,
39,8481532,Alex Turcotte,Center,Los Angeles Kings,,,
72,8481568,Alex Vlasic,Defenseman,Chicago Blackhawks,,,
21,8477505,Alex Wennberg,Center,Seattle Kraken,,,
40,8480382,Alexandar Georgiev,Goalie,Colorado Avalanche,,,
27,8480823,Alexander Alexeyev,Defenseman,Washington Capitals,,,
94,8482222,Alexander Barabanov,Left Wing,San Jose Sharks,,,
2,8471303,Alexander Edler,Defenseman,Los Angeles Kings,,,
10,8482125,Alexander Holtz,Right Wing,New Jersey Devils,8482125,73,0
10,8482125,Alexander Holtz,Right Wing,New Jersey Devils,8482125,76,-2
28,8481014,Alexander Romanov,Defenseman,New York Islanders,,,
45,8478851,Alexandre Carrier,Defenseman,Nashville Predators,,,
13,8480281,Alexey Toropchenko,Right Wing,St. Louis Blues,8480281,,
13,8482109,Alexis Lafrenière,Left Wing,New York Rangers,,,
21,8481656,Aliaksei Protas,Center,Washington Capitals,,,
24,8478075,Anders Bjork,Left Wing,Buffalo Sabres,,,
24,8478075,Anders Bjork,Left Wing,Chicago Blackhawks,,,
27,8475314,Anders Lee,Left Wing,New York Islanders,8475314,34,31
95,8477444,Andre Burakovsky,Left Wing,Seattle Kraken,,,
89,8476960,Andreas Athanasiou,Center,Chicago Blackhawks,8476960,84,-3
5,8477971,Andreas Englund,Defenseman,Chicago Blackhawks,,,
5,8477971,Andreas Englund,Defenseman,Colorado Avalanche,,,
18,8477341,Andreas Johnsson,Left Wing,New Jersey Devils,,,
18,8477341,Andreas Johnsson,Left Wing,San Jose Sharks,,,
96,8483808,Andrei Kuzmenko,Left Wing,Vancouver Canucks,8483808,-59,-1
37,8480830,Andrei Svechnikov,Right Wing,Carolina Hurricanes,,,
88,8476883,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,,,
28,8475461,Andrew Agozzino,Left Wing,San Jose Sharks,8475461,-68,-1
28,8475461,Andrew Agozzino,Left Wing,San Jose Sharks,8475461,,
11,8471699,Andrew Cogliano,Center,Colorado Avalanche,,,
18,8477429,Andrew Copp,Center,Detroit Red Wings,,,
88,8478233,Andrew Mangiapane,Left Wing,Calgary Flames,8478233,-81,10
88,8478233,Andrew Mangiapane,Left Wing,Calgary Flames,8478233,73,1
2,8479369,Andrew Peeke,Defenseman,Columbus Blue Jackets,,,
18,8476404,Andy Andreoff,Center,New York Islanders,,,
72,8478463,Anthony Beauvillier,Left Wing,New York Islanders,,,
72,8478463,Anthony Beauvillier,Left Wing,Vancouver Canucks,,,
71,8478519,Anthony Cirelli,Center,Tampa Bay Lightning,8478519,80,3
71,8478519,Anthony Cirelli,Center,Tampa Bay Lightning,8478519,68,-30
10,8477407,Anthony Duclair,Left Wing,Florida Panthers,,,
39,8477511,Anthony Mantha,Right Wing,Washington Capitals,,,
90,8478409,Anthony Richard,Center,Montréal Canadiens,,,
41,8476932,Anthony Stolarz,Goalie,Anaheim Ducks,,,
25,8477320,Anton Blidh,Left Wing,Colorado Avalanche,,,
31,8476341,Anton Forsberg,Goalie,Ottawa Senators,,,
31,8471418,Anton Khudobin,Goalie,Chicago Blackhawks,,,
76,8483641,Anton Levtchi,Left Wing,Florida Panthers,,,
15,8482113,Anton Lundell,Center,Florida Panthers,8482113,,
15,8482113,Anton Lundell,Center,Florida Panthers,8482113,,
86,8471873,Anton Stralman,Defenseman,Boston Bruins,,,
32,8477293,Antti Raanta,Goalie,Carolina Hurricanes,,,
11,8471685,Anze Kopitar,Center,Los Angeles Kings,,,
72,8482964,Arber Xhekaj,Defenseman,Montréal Canadiens,,,
38,8480242,Arnaud Durandeau,Left Wing,New York Islanders,8480242,86,-7
2,8482245,Artem Zub,Defenseman,Ottawa Senators,,,
10,8478550,Artemi Panarin,Left Wing,New York Rangers,,,
34,8481560,Arthur Kaliyev,Right Wing,Los Angeles Kings,,,
62,8477476,Artturi Lehkonen,Left Wing,Colorado Avalanche,,,
31,8481668,Arturs Silovs,Goalie,Vancouver Canucks,,,
40,8482821,Arvid Soderblom,Goalie,Chicago Blackhawks,,,
21,8478512,Austin Czarnik,Center,Detroit Red Wings,8478512,-79,-6
48,8480467,Austin Strand,Defenseman,Anaheim Ducks,,,
26,8478455,Austin Wagner,Left Wing,Chicago Blackhawks,8478455,89,-4
16,8475766,Austin Watson,Left Wing,Ottawa Senators,8475766,-83,7
34,8479318,Auston Matthews,Center,Toronto Maple Leafs,,,
71,8479536,Axel Jonsson-Fjallby,Left Wing,Winnipeg Jets,,,
21,8476624,Barclay Goodrow,Center,New York Rangers,8476624,-85,6
29,8480849,Barrett Hayton,Center,Arizona Coyotes,8480849,,
29,8480849,Barrett Hayton,Center,Arizona Coyotes,8480849,,
47,8479359,Beck Malenstyn,Left Wing,Washington Capitals,,,
8,8475279,Ben Chiarot,Defenseman,Detroit Red Wings,,,
5,8477433,Ben Harpur,Defenseman,New York Rangers,,,
17,8477018,Ben Hutton,Defenseman,Vegas Golden Knights,8477018,70,7
59,8483570,Ben Meyers,Center,Colorado Avalanche,,,
50,8480870,Benoit-Olivier Groulx,Center,Anaheim Ducks,8480870,,
6,8482399,Billy Sweezey,Defenseman,Columbus Blue Jackets,,,
20,8476399,Blake Coleman,Center,Calgary Flames,,,
46,8481481,Blake Lizotte,Center,Los Angeles Kings,,,
17,8471218,Blake Wheeler,Right Wing,Winnipeg Jets,8471218,85,-5
14,8477500,Bo Horvat,Center,New York Islanders,8477500,88,-5
14,8477500,Bo Horvat,Center,Vancouver Canucks,8477500,88,-5
74,8482259,Bobby McMann,Center,Toronto Maple Leafs,,,
14,8478147,Bokondji Imama,Left Wing,Arizona Coyotes,,,
38,8476432,Boone Jenner,Center,Columbus Blue Jackets,,,
14,8479383,Boris Katchouk,Left Wing,Chicago Blackhawks,,,
4,8481524,Bowen Byram,Defenseman,Colorado Avalanche,,,
17,8476779,Brad Hunt,Defenseman,Colorado Avalanche,,,
24,8474089,Brad Malone,Center,Edmonton Oilers,8474089,-71,5
63,8473419,Brad Marchand,Left Wing,Boston Bruins,,,
4,8482073,Braden Schneider,Defenseman,New York Rangers,,,
76,8476869,Brady Skjei,Defenseman,Carolina Hurricanes,8476869,-72,6
7,8480801,Brady Tkachuk,Left Wing,Ottawa Senators,8480801,88,-2
25,8478443,Brandon Carlo,Defenseman,Boston Bruins,,,
21,8479520,Brandon Duhaime,Right Wing,Minnesota Wild,,,
38,8479542,Brandon Hagel,Left Wing,Tampa Bay Lightning,8479542,-81,0
62,8477986,Brandon Montour,Defenseman,Florida Panthers,,,
20,8476438,Brandon Saad,Left Wing,St. Louis Blues,,,
13,8479293,Brandon Tanev,Left Wing,Seattle Kraken,,,
92,8482730,Brandt Clarke,Defenseman,Los Angeles Kings,,,
3,8475188,Brayden McNabb,Defenseman,Vegas Golden Knights,,,
94,8481167,Brayden Pachal,Defenseman,Vegas Golden Knights,,,
21,8478010,Brayden Point,Center,Tampa Bay Lightning,,,
10,8475170,Brayden Schenn,Center,St. Louis Blues,8475170,,
10,8475170,Brayden Schenn,Center,St. Louis Blues,8475170,,
11,8475848,Brendan Gallagher,Right Wing,Montréal Canadiens,,,
16,8476867,Brendan Gaunce,Center,Columbus Blue Jackets,,,
28,8477962,Brendan Lemieux,Left Wing,Philadelphia Flyers,,,
28,8477962,Brendan Lemieux,Left Wing,Los Angeles Kings,,,
2,8474090,Brendan Smith,Defenseman,New Jersey Devils,,,
5,8475455,Brenden Dillon,Defenseman,Winnipeg Jets,,,
8,8470613,Brent Burns,Defenseman,Carolina Hurricanes,,,
21,8479353,Brett Howden,Center,Vegas Golden Knights,8479353,81,-3
27,8476967,Brett Kulak,Defenseman,Edmonton Oilers,,,
20,8481517,Brett Leason,Right Wing,Anaheim Ducks,8481517,-80,5
20,8481517,Brett Leason,Right Wing,Anaheim Ducks,8481517,-84,0
22,8477488,Brett Pesce,Defenseman,Carolina Hurricanes,,,
24,8476439,Brett Ritchie,Right Wing,Calgary Flames,,,
24,8476439,Brett Ritchie,Right Wing,Arizona Coyotes,,,
62,8478881,Brett Seney,Left Wing,Chicago Blackhawks,,,
8,8475208,Brian Dumoulin,Defenseman,Pittsburgh Penguins,,,
1,8470880,Brian Elliott,Goalie,Tampa Bay Lightning,,,
6,8478444,Brock Boeser,Right Wing,Vancouver Canucks,,,
7,8482122,Brock Faber,Defenseman,Minnesota Wild,,,
26,8476934,Brock McGinn,Left Wing,Pittsburgh Penguins,8476934,59,19
26,8476934,Brock McGinn,Left Wing,Anaheim Ducks,8476934,59,19
29,8475754,Brock Nelson,Center,New York Islanders,8475754,83,-5
17,8475810,Bryan Rust,Right Wing,Pittsburgh Penguins,,,
53,8477210,Buddy Robinson,Right Wing,Chicago Blackhawks,,,
51,8475278,Byron Froese,Center,Vegas Golden Knights,,,
15,8473504,Cal Clutterbuck,Right Wing,New York Islanders,8473504,-65,-5
52,8479984,Cal Foote,Defenseman,Tampa Bay Lightning,,,
52,8479984,Cal Foote,Defenseman,Nashville Predators,,,
40,8477361,Cal Petersen,Goalie,Los Angeles Kings,,,
8,8479985,Cale Fleury,Defenseman,Seattle Kraken,8479985,64,-23
8,8480069,Cale Makar,Defenseman,Colorado Avalanche,,,
6,8478452,Caleb Jones,Defenseman,Chicago Blackhawks,8478452,-41,-1
2,8480884,Calen Addison,Defenseman,Minnesota Wild,,,
68,8482250,Callahan Burke,Center,Colorado Avalanche,,,
19,8475714,Calle Jarnkrok,Center,Toronto Maple Leafs,,,
43,8480157,Calle Rosen,Defenseman,St. Louis Blues,,,
44,8475177,Calvin de Haan,Defenseman,Carolina Hurricanes,,,
4,8475764,Cam Fowler,Defenseman,Anaheim Ducks,,,
33,8475660,Cam Talbot,Goalie,Ottawa Senators,,,
8,8481546,Cam York,Defenseman,Philadelphia Flyers,,,
91,8479336,Carl Grundstrom,Right Wing,Los Angeles Kings,,,
72,8480292,Carson Meyer,Right Wing,Columbus Blue Jackets,8480292,84,3
72,8480292,Carson Meyer,Right Wing,Columbus Blue Jackets,8480292,-69,2
7,8477369,Carson Soucy,Defenseman,Seattle Kraken,,,
79,8479394,Carter Hart,Goalie,Philadelphia Flyers,,,
23,8477409,Carter Verhaeghe,Center,Florida Panthers,,,
53,8475231,Casey Cizikas,Center,New York Islanders,,,
1,8479193,Casey DeSmith,Goalie,Pittsburgh Penguins,,,
4,8479578,Casey Fitzgerald,Defenseman,Buffalo Sabres,,,
4,8479578,Casey Fitzgerald,Defenseman,Florida Panthers,,,
37,8479999,Casey Mittelstadt,Center,Buffalo Sabres,,,
30,8480051,Cayden Primeau,Goalie,Montréal Canadiens,,,
2,8477244,Chad Ruhwedel,Defenseman,Pittsburgh Penguins,,,
20,8476905,Chandler Stephenson,Center,Vegas Golden Knights,,,
54,8476948,Charles Hudon,Left Wing,Colorado Avalanche,,,
13,8475745,Charlie Coyle,Center,Boston Bruins,,,
79,8479292,Charlie Lindgren,Goalie,Washington Capitals,,,
73,8479325,Charlie McAvoy,Defenseman,Boston Bruins,,,
20,8475184,Chris Kreider,Left Wing,New York Rangers,8475184,-84,8
8,8475690,Chris Tanev,Defenseman,Calgary Flames,,,
67,8476919,Chris Tierney,Center,Montréal Canadiens,,,
67,8476919,Chris Tierney,Center,Florida Panthers,,,
14,8475780,Chris Wagner,Right Wing,Boston Bruins,,,
6,8475227,Chris Wideman,Defenseman,Montréal Canadiens,,,
28,8477989,Christian Dvorak,Center,Montréal Canadiens,,,
36,8478432,Christian Fischer,Right Wing,Arizona Coyotes,,,
86,8478846,Christian Wolanin,Defenseman,Vancouver Canucks,,,
53,8478058,CJ Suess,Left Wing,San Jose Sharks,,,
28,8473512,Claude Giroux,Right Wing,Ottawa Senators,8473512,-82,0
9,8479343,Clayton Keller,Right Wing,Arizona Coyotes,8479343,,
5,8476879,Cody Ceci,Defenseman,Edmonton Oilers,,,
8,8479996,Cody Glass,Center,Nashville Predators,,,
54,8478367,Cole Bardreau,Center,New York Islanders,,,
22,8481540,Cole Caufield,Right Wing,Montréal Canadiens,8481540,-69,-19
70,8480252,Cole Guttman,Center,Chicago Blackhawks,,,
45,8481043,Cole Koepke,Left Wing,Tampa Bay Lightning,,,
48,8484287,Cole McWard,Defenseman,Vancouver Canucks,,,
91,8482149,Cole Perfetti,Center,Winnipeg Jets,8482149,-74,6
4,8482705,Cole Sillinger,Center,Columbus Blue Jackets,,,
36,8482062,Cole Smith,Left Wing,Nashville Predators,,,
43,8476278,Colin Blackwell,Center,Chicago Blackhawks,,,
6,8476525,Colin Miller,Defenseman,Dallas Stars,,,
6,8478400,Colin White,Center,Florida Panthers,,,
60,8480420,Collin Delia,Goalie,Vancouver Canucks,,,
55,8476892,Colton Parayko,Defenseman,St. Louis Blues,,,
10,8476925,Colton Sissons,Center,Nashville Predators,,,
45,8478841,Colton White,Defenseman,Anaheim Ducks,,,
28,8477015,Connor Brown,Right Wing,Washington Capitals,,,
58,8476941,Connor Carrick,Defenseman,Boston Bruins,,,
75,8477365,Connor Clifton,Defenseman,Boston Bruins,,,
26,8480980,Connor Dewar,Center,Minnesota Wild,8480980,64,11
37,8476945,Connor Hellebuyck,Goalie,Winnipeg Jets,,,
39,8478971,Connor Ingram,Goalie,Arizona Coyotes,,,
14,8482067,Connor Mackey,Defenseman,Calgary Flames,,,
14,8482067,Connor Mackey,Defenseman,Arizona Coyotes,,,
97,8478402,Connor McDavid,Center,Edmonton Oilers,8478402,-81,2
24,8481580,Connor McMichael,Center,Washington Capitals,,,
5,8476473,Connor Murphy,Defenseman,Chicago Blackhawks,,,
8,8478856,Conor Garland,Right Wing,Vancouver Canucks,8478856,72,16
73,8477839,Conor Sheary,Left Wing,Washington Capitals,8477839,75,-3
25,8479982,Conor Timmins,Defenseman,Toronto Maple Leafs,8479982,,
25,8479982,Conor Timmins,Defenseman,Toronto Maple Leafs,8479982,,
25,8479982,Conor Timmins,Defenseman,Arizona Coyotes,8479982,,
25,8479982,Conor Timmins,Defenseman,Arizona Coyotes,8479982,,
94,8470621,Corey Perry,Right Wing,Tampa Bay Lightning,,,
64,8481461,Corey Schueneman,Defenseman,Montréal Canadiens,,,
41,8467950,Craig Anderson,Goalie,Buffalo Sabres,,,
15,8475225,Craig Smith,Center,Boston Bruins,,,
15,8475225,Craig Smith,Center,Washington Capitals,,,
42,8477508,Curtis Lazar,Center,New Jersey Devils,8477508,85,7
42,8477508,Curtis Lazar,Center,Vancouver Canucks,8477508,85,7
81,8478057,Dakota Joshua,Center,Vancouver Canucks,,,
6,8477541,Dakota Mermis,Defenseman,Minnesota Wild,,,
68,8480994,Damien Giroux,Center,Minnesota Wild,,,
78,8476923,Damon Severson,Defenseman,New Jersey Devils,,,
44,8479252,Dan Renouf,Defenseman,Boston Bruins,,,
80,8478435,Dan Vladar,Goalie,Calgary Flames,,,
88,8478466,Daniel Sprong,Right Wing,Seattle Kraken,8478466,-82,8
88,8478466,Daniel Sprong,Right Wing,Seattle Kraken,8478466,-77,-10
42,8482624,Daniil Miromanov,Defenseman,Vegas Golden Knights,,,
40,8480193,Daniil Tarasov,Goalie,Columbus Blue Jackets,,,
75,8482101,Danil Gushchin,Left Wing,San Jose Sharks,,,
57,8479371,Dante Fabbro,Defenseman,Nashville Predators,,,
43,8478046,Danton Heinen,Left Wing,Pittsburgh Penguins,8478046,-75,3
35,8475311,Darcy Kuemper,Goalie,Washington Capitals,,,
25,8477498,Darnell Nurse,Defenseman,Edmonton Oilers,,,
43,8471794,Darren Helm,Center,Colorado Avalanche,,,
43,8478178,Darren Raddysh,Defenseman,Tampa Bay Lightning,,,
37,8480328,David Gust,Right Wing,Chicago Blackhawks,,,
19,8481019,David Gustafsson,Center,Winnipeg Jets,8481019,-75,-11
55,8483460,David Jiricek,Defenseman,Columbus Blue Jackets,,,
64,8480144,David Kampf,Center,Toronto Maple Leafs,,,
46,8471276,David Krejci,Center,Boston Bruins,,,
88,8477956,David Pastrnak,Right Wing,Boston Bruins,8477956,67,21
88,8477956,David Pastrnak,Right Wing,Boston Bruins,8477956,-75,3
57,8474102,David Perron,Left Wing,Detroit Red Wings,,,
31,8479496,David Rittich,Goalie,Winnipeg Jets,,,
58,8475233,David Savard,Defenseman,Montréal Canadiens,,,
91,8482110,Dawson Mercer,Center,New Jersey Devils,8482110,-86,9
15,8478495,Denis Gurianov,Right Wing,Montréal Canadiens,,,
15,8478495,Denis Gurianov,Right Wing,Dallas Stars,,,
81,8478843,Denis Malgin,Center,Toronto Maple Leafs,,,
81,8478843,Denis Malgin,Center,Colorado Avalanche,,,
7,8479395,Dennis Cholowski,Defenseman,New York Islanders,,,
48,8478502,Dennis Gilbert,Defenseman,Calgary Flames,,,
28,8475762,Derek Forbort,Defenseman,Boston Bruins,,,
38,8474683,Derek Grant,Center,Anaheim Ducks,,,
10,8478585,Derek Ryan,Center,Edmonton Oilers,,,
21,8474613,Derek Stepan,Center,Carolina Hurricanes,,,
61,8473544,Derick Brassard,Center,Ottawa Senators,,,
33,8476884,Derrick Pouliot,Defenseman,San Jose Sharks,,,
94,8476913,Devin Shore,Center,Edmonton Oilers,,,
27,8482221,Devon Levi,Goalie,Buffalo Sabres,,,
7,8478038,Devon Toews,Defenseman,Colorado Avalanche,8478038,39,-3
29,8479346,Dillon Dube,Center,Calgary Flames,8479346,-87,6
29,8477471,Dillon Heatherington,Defenseman,Ottawa Senators,,,
37,8480041,Dmitri Samorukov,Defenseman,St. Louis Blues,,,
7,8475179,Dmitry Kulikov,Defenseman,Pittsburgh Penguins,8475179,-91,6
7,8475179,Dmitry Kulikov,Defenseman,Pittsburgh Penguins,8475179,92,-12
7,8475179,Dmitry Kulikov,Defenseman,Anaheim Ducks,8475179,-91,6
7,8475179,Dmitry Kulikov,Defenseman,Anaheim Ducks,8475179,92,-12
